time,theta10,theta15,theta30,theta45,theta60,theta75,theta90
0.00,10.1,18.4,39.8,37.4,62.9,73.5,89.4
0.02,9.5,18.4,39.7,37.0,62.6,73.1,88.6
0.03,8.8,18.4,39.5,36.7,62.3,72.3,87.4
0.05,7.9,18.2,39.4,36.0,61.5,71.8,86.1
0.07,7.3,17.9,38.9,35.4,60.3,70.7,84.3
0.08,6.5,17.7,38.3,34.7,58.8,69.3,82.7
0.10,5.7,17.3,37.6,33.7,57.5,68.1,80.2
0.12,4.9,17.0,36.2,32.2,55.6,66.1,77.9
0.13,3.8,16.4,34.8,30.8,52.3,64.0,75.2
0.15,2.9,15.5,33.5,29.4,50.4,62.4,71.9
0.17,1.8,14.7,31.9,27.8,47.8,59.4,68.8
0.18,0.8,13.9,30.1,25.7,45.1,56.0,65.3
0.20,0.0,12.7,28.0,23.3,42.1,53.0,60.8
0.22,-1.2,12.1,25.9,21.3,38.7,49.9,56.5
0.23,-2.1,10.8,23.4,19.2,34.8,46.7,52.6
0.25,-3.1,9.3,20.8,17.0,30.9,42.4,48.3
0.27,-4.1,8.3,18.8,14.0,27.0,37.4,43.3
0.28,-5.2,7.3,16.1,11.7,22.7,33.6,37.9
0.30,-5.9,6.0,12.9,9.2,21.0,28.4,33.7
0.32,-6.8,4.4,10.0,6.5,16.3,23.7,29.1
0.33,-7.8,3.1,7.2,3.5,9.4,19.6,22.9
0.35,-8.6,1.6,4.8,0.4,5.0,17.0,17.6
0.37,-9.3,0.1,2.1,-2.8,0.2,8.6,11.8
0.38,-10.1,-1.0,-1.4,-4.6,-4.2,3.9,5.0
0.40,-10.6,-2.6,-4.5,-7.5,-9.2,-0.5,-2.4
0.42,-11.2,-4.1,-7.1,-10.5,-13.3,-5.7,-9.2
0.43,-11.8,-5.4,-9.6,-13.2,-18.0,-11.0,-14.9
0.45,-12.3,-7.0,-13.3,-15.4,-22.5,-15.3,-20.1
0.47,-12.8,-8.1,-16.0,-18.4,-26.6,-21.6,-26.2
0.48,-13.1,-9.2,-17.5,-19.6,-31.8,-26.0,-32.4
0.50,-13.5,-10.6,-21.0,-22.3,-35.5,-31.7,-37.2
0.52,-13.6,-11.6,-22.5,-24.7,-38.9,-37.1,-42.7
0.53,-13.7,-12.9,-25.2,-26.4,-42.3,-40.9,-46.5
0.55,-14.0,-13.6,-27.5,-28.6,-46.3,-44.5,-51.3
0.57,-14.1,-14.6,-29.8,-30.4,-49.1,-48.2,-56.8
0.58,-14.1,-15.4,-31.6,-31.8,-51.9,-51.5,-61.1
0.60,-13.7,-16.3,-33.6,-33.4,-55.1,-55.3,-65.1
0.62,-13.4,-17.0,-34.7,-34.9,-57.4,-58.7,-69.0
0.63,-13.0,-17.7,-36.5,-35.7,-58.9,-61.4,-71.8
0.65,-12.8,-18.3,-37.7,-36.3,-60.6,-64.1,-75.0
0.67,-12.4,-18.8,-38.4,-37.4,-61.8,-66.6,-78.0
0.68,-12.1,-18.9,-39.4,-37.8,-63.3,-68.9,-80.4
0.70,-11.7,-19.0,-40.0,-38.2,-64.1,-70.7,-82.9
0.72,-11.0,-19.2,-40.4,-38.3,-65.1,-72.1,-84.4
0.73,-10.4,-19.3,-40.6,-38.1,-65.5,-73.3,-86.2
0.75,-9.7,-19.0,-40.7,-37.8,-65.7,-74.0,-86.9
0.77,-8.9,-18.8,-40.7,-37.4,-65.6,-74.5,-88.1
0.78,-8.2,-18.7,-40.0,-36.7,-65.3,-74.8,-89.0
0.80,-7.3,-18.3,-39.4,-35.8,-64.5,-74.9,-89.1
0.82,-6.5,-17.7,-38.8,-34.9,-63.6,-74.7,-89.1
0.83,-5.2,-17.4,-37.8,-34.1,-62.5,-74.1,-88.9
0.85,-4.1,-16.6,-37.0,-32.6,-61.2,-73.3,-88.3
0.87,-3.5,-15.9,-35.7,-31.3,-59.0,-72.2,-87.7
0.88,-2.2,-15.0,-34.1,-29.5,-57.8,-71.2,-86.2
0.90,-1.2,-14.4,-32.1,-28.0,-55.1,-69.5,-84.9
0.92,-0.2,-13.4,-30.7,-25.6,-52.6,-67.4,-83.1
0.93,0.8,-12.4,-28.5,-23.3,-49.6,-65.0,-80.9
0.95,1.7,-11.4,-26.6,-21.3,-46.8,-62.2,-78.4
0.97,2.4,-10.3,-24.0,-18.5,-43.4,-59.7,-76.1
0.98,3.4,-9.2,-21.7,-15.9,-40.3,-56.9,-72.7
1.00,4.6,-7.8,-19.1,-13.8,-37.3,-53.4,-69.7
1.02,5.5,-6.5,-16.5,-11.5,-33.2,-49.4,-66.2
1.03,6.3,-5.1,-14.1,-8.6,-29.5,-45.1,-62.7
1.05,7.1,-3.5,-10.8,-6.0,-25.6,-41.3,-58.6
1.07,7.8,-2.2,-8.3,-3.3,-21.3,-37.5,-53.3
1.08,8.5,-0.7,-5.6,-0.6,-16.0,-33.0,-50.0
1.10,9.2,0.6,-2.4,2.4,-11.8,-28.4,-43.2
1.12,9.9,2.2,0.4,4.2,-6.6,-24.0,-38.9
1.13,10.5,3.5,3.9,7.6,-1.6,-18.5,-34.2
1.15,10.9,5.0,6.4,9.8,2.1,-12.9,-28.4
1.17,11.4,6.2,9.6,13.4,7.4,-7.8,-22.8
1.18,11.9,7.5,11.4,15.1,12.4,-3.6,-17.2
1.20,12.2,8.7,14.6,17.6,18.0,2.4,-10.6
1.22,12.5,9.5,17.2,20.3,21.2,8.1,-3.7
1.23,12.8,10.9,20.2,22.6,25.1,13.8,1.2
1.25,12.8,12.0,22.8,24.6,29.6,19.7,7.2
